1040	1040	1362.txt	images captured from 1040 subjects some of whom
1000	1000	664.txt	A minimum of 1000 participants was selected to
1000	1000	565.txt	are collected from 1000 patients who are discharged
925	925	1334.txt	21205 inputs from 925 unique users (71% Android users)
877	877	606.txt	psychiatric outpatients and 877 healthy subjects and administered the
822	822	664.txt	were rated by 822 participants and are highly
726	726	522.txt	a subgroup of 726 participants whose data survived
651	651	588.txt	for the analysed 651 subjects are converted into
650	650	613.txt	the killing of 650 people in cities such
600	600	1145.txt	"with at least 600 subjects (Singh et al.,"
579	579	606.txt	A sample of 579 participants with chronic or
576	576	606.txt	then administered in 576 participants of different economic
572	572	12.txt	the group of 572 patients with stable blood
567	567	606.txt	study by asking 567 psychiatric patients to fill out
561	561	1301.txt	the questionnaires with 561 participants show significant differences
523	523	499.txt	EEG activities of 523 participants in a single
523	523	308.txt	EEG activities of 523 participants in a single
500	500	428.txt	the results of 500 patients that were vaccinated
498	498	808.txt	from data from 498 healthy subjects obtained by indirect
493	493	993.txt	an initial set 493 patient proﬁles in the
479	479	1414.txt	from 7 to 479 participants [38–40]. Larson and
450	450	1377.txt	Image  4457 2263  450 6270  User response as “O”
448	448	974.txt	long study with 448 participants over 65 years
411	411	137.txt	The emotions of 411 participants stimulated by watching
402	402	118.txt	was gathered from 402 people across 48 settlements
400	400	606.txt	an audience of 400 people at the 2012
400	400	378.txt	"that consisted of 400 people with deviant behavior,"
400	400	252.txt	acquire data from 400 people under only three
347	347	1334.txt	online survey with 347 participants revealed the widespread
337	337	1362.txt	images captured from 337 subjects who attended in
333	333	106.txt	currves for the 333 participants 6. Conclusion ns
320	320	428.txt	and treatment of 320 patients with allergic rhinitis.
305	305	929.txt	was collected in 305 students from the Universidade
300	300	976.txt	gathered together over 300 participants in January and
300	300	937.txt	data of about 300 participants will be analyzed
300	300	644.txt	expected to evaluate 300 patients through a mobile
300	300	619.txt	that more than 300 million people of all ages
300	300	1344.txt	conducted with nearly 300 participants in order to
300	300	120.txt	settlements of just 300 people with no electricity
300	300	118.txt	hamlets of only 300 people with no electricity
300	300	117.txt	settlements of just 300 people with no access
294	294	1344.txt	A total of 294 people participated in the
254	254	1384.txt	completed wheelchairs required 254 participants for their collective
250	250	572.txt	are expecting over 250 people at this conference.
242	242	937.txt	sample consists of 242 subjects (51.3 % females)
230	230	606.txt	COPE by asking 230 students to fill in
215	215	632.txt	expressions performed by 215 students (157 men and
212	212	606.txt	a sample of 212 patients suffering from various
208	208	1319.txt	A total of 208 stroke patients (with sample size
204	204	937.txt	a sample of 204 participants ranging in age
201	201	357.txt	The participants were 201 subjects with ages ranging
200	200	221.txt	clip selection from 200 participants of various ages
200	200	1196.txt	this information from 200 students in a live
200	200	1196.txt	deliver seminars to 200 students with a class
192	192	876.txt	to all the 192 participants grouping all of
